"Category";"Average Mean Surface Air Temperature (Annual Mean °C)";"5-year smooth (Gaussian Smooth)"
1901;-19,76;-19,85
1902;-20,04;-20
1903;-20,16;-20,14
1904;-20,53;-20,26
1905;-19,92;-20,35
1906;-20,63;-20,4
1907;-20,86;-20,39
1908;-19,67;-20,33
1909;-20,01;-20,25
1910;-20,61;-20,17
1911;-20,29;-20,1
1912;-19,44;-20,06
1913;-20,19;-20,07
1914;-21,07;-20,11
1915;-19,77;-20,17
1916;-19,62;-20,24
1917;-20,04;-20,31
1918;-21,07;-20,36
1919;-20,13;-20,39
1920;-20,62;-20,38
1921;-20,46;-20,31
1922;-20,23;-20,17
1923;-19,39;-19,95
1924;-19,67;-19,66
1925;-19,58;-19,34
1926;-18,95;-19,02
1927;-19,12;-18,75
1928;-18,15;-18,57
1929;-18,31;-18,48
1930;-18,65;-18,48
1931;-18,88;-18,53
1932;-18,51;-18,61
1933;-18,47;-18,71
1934;-18,91;-18,8
1935;-18,81;-18,88
1936;-18,66;-18,93
1937;-19,14;-18,97
1938;-19,76;-19
1939;-18,55;-19
1940;-18,87;-18,98
1941;-18,35;-18,96
1942;-18,87;-18,94
1943;-19,62;-18,93
1944;-19,6;-18,94
1945;-19,03;-18,98
1946;-18,44;-19,03
1947;-18,07;-19,09
1948;-19,34;-19,16
1949;-19,79;-19,24
1950;-19,33;-19,31
1951;-19,99;-19,37
1952;-19,1;-19,42
1953;-19,29;-19,45
1954;-19,13;-19,45
1955;-19,55;-19,43
1956;-19,7;-19,37
1957;-19,09;-19,3
1958;-19,16;-19,23
1959;-19,45;-19,17
1960;-18,6;-19,12
1961;-19,58;-19,11
1962;-18,9;-19,13
1963;-19,24;-19,18
1964;-19,46;-19,27
1965;-19,02;-19,4
1966;-19,85;-19,57
1967;-19,87;-19,75
1968;-19,94;-19,92
1969;-19,71;-20,05
1970;-19,86;-20,11
1971;-20,49;-20,08
1972;-19,88;-19,96
1973;-19,87;-19,79
1974;-19,26;-19,61
1975;-20,25;-19,46
1976;-19,25;-19,38
1977;-19,12;-19,4
1978;-19,73;-19,48
1979;-19,68;-19,6
1980;-18,72;-19,71
1981;-19,55;-19,79
1982;-20,1;-19,8
1983;-20,84;-19,76
1984;-19,97;-19,68
1985;-18,85;-19,6
1986;-19,48;-19,55
1987;-19,43;-19,55
1988;-19,39;-19,62
1989;-20,42;-19,71
1990;-19,52;-19,81
1991;-19,38;-19,88
1992;-20,14;-19,91
1993;-20,28;-19,87
1994;-19,72;-19,77
1995;-19,58;-19,63
1996;-19,21;-19,46
1997;-19,35;-19,28
1998;-18,78;-19,1
1999;-19,24;-18,93
2000;-18,93;-18,77
2001;-18,77;-18,63
2002;-18,47;-18,51
2003;-18,16;-18,42
2004;-18,42;-18,35
2005;-17,95;-18,3
2006;-18,38;-18,28
2007;-18,51;-18,28
2008;-18,71;-18,29
2009;-18,58;-18,32
2010;-17,49;-18,35
2011;-18,34;-18,39
2012;-18,36;-18,42
2013;-18,68;-18,43
2014;-18,1;-18,43
2015;-19,1;-18,4
2016;-17,72;-18,37
2017;-18,53;-18,33
2018;-18,99;-18,3
2019;-18,02;-18,28
2020;-18,47;-18,28
2021;-17,39;-18,29
2022;-18,38;-18,31
2023;-18,47;-18,34
2024;-18,56;-18,38
